CNT,Drugs,ndrugs,rnk
17152450,DB01060,1,1
6183702,DB00567,1,2
5945949,DB00537,1,3
5882349,DB01001,1,4
5246503,DB00635,1,5
5094674,DB13867,1,6
4844733,DB01076,1,7
4489250,DB00722,1,8
4313617,DB00451,1,9
4143182,DB00254,1,10
3957014,DB00338,1,11
3698880,DB01190,1,12
3593321,DB00264,1,13
3570002,DB00620,1,14
3481246,DB00331,1,15
3456158,DB00381,1,16
3442684,DB00193,1,17
3419871,DB01050,1,18
3306936,DB00207,1,19
3199799,DB00196,1,20
3102909,DB00698,1,21
3101011,DB00535,1,22
2985564,DB00641,1,23
2968138,DB00996,1,24
2967620,DB00404,1,25
2929835,DB00788,1,26
2897178,DB00924,1,27
2814708,DB00814,1,28
2785842,DB00916,1,29
2697985,DB01104,1,30
2673725,DB00999,1,31
2647156,DB00904,1,32
2576407,DB00213,1,33
2407084,DB00425,1,34
2390310,DB00471,1,35
2340824,DB00198,1,36
2311860,DB00695,1,37
2305825,DB00741,1,38
2280067,DB00586,1,39
2232106,DB01156,1,40
2074795,DB00678,1,41
2058734,DB00410,1,42
1855652,DB00860,1,43
1854183,DB00186,1,44
1754269,DB00215,1,45
1744142,DB00656,1,46
1703051,DB00472,1,47
1686000,DB00646,1,48
1617962,DB01098,1,49
1583394,DB01069,1,50
1523616,DB00868,1,51
1510321,DB00218,1,52
1490256,DB00199,1,53
1454714,DB00706,1,54
1418854,DB00829,1,55
1408517,DB00175,1,56
1398705,DB00783,1,57
1394230,DB01026,1,58
1376697,DB11750,1,59
1352970,DB01068,1,60
1336920,DB00335,1,61
1334385,DB00182,1,62
1318309,DB00557,1,63
1304302,DB00950,1,64
1285305,DB00497,1,65
1248567,DB00285,1,66
1246406,DB00787,1,67
1178132,DB00341,1,68
1171801,DB00758,1,69
1168366,DB01112,1,70
1167850,DB00476,1,71
1120854,DB00736,1,72
1118992,DB00482,1,73
1078992,DB01211,1,74
1078614,DB01136,1,75
1053218,DB00682,1,76
1050196,DB00281,1,77
1046760,DB00863,1,78
1041987,DB01165,1,79
1024667,DB00878,1,80
981845,DB00715,1,81
902493,DB00697,1,82
900695,DB01017,1,83
890598,DB00321,1,84
889365,DB00421,1,85
878486,DB00684,1,86
855853,DB00422,1,87
853294,DB01039,1,88
837149,DB01067,1,89
815921,DB00437,1,90
812016,DB00443,1,91
809083,DB00727,1,92
803792,DB00669,1,93
797887,DB00203,1,94
795875,DB00768,1,95
794692,DB01047,1,96
763635,DB00343,1,97
761982,DB00972,1,98
756092,DB00177,1,99
749334,DB00857,1,100
731205,DB00804,1,101
725425,DB00227,1,102
716260,DB00273,1,103
714235,DB00668,1,104
700308,DB01222,1,105
697034,DB01062,1,106
691859,DB00490,1,107
662802,DB01233,1,108
659167,DB00575,1,109
651605,DB01224,1,110
636995,DB00230,1,111
633807,DB00654,1,112
633700,DB00798,1,113
633525,DB00571,1,114
623984,DB00448,1,115
623980,DB00370,1,116
592250,DB00755,1,117
586949,DB00222,1,118
575504,DB00634,1,119
575142,DB01234,1,120
562593,DB00126,1,121
562190,DB00973,1,122
560380,DB00328,1,123
556872,DB01150,1,124
555587,DB01255,1,125
547168,DB00423,1,126
541177,DB00624,1,127
536851,DB01188,1,128
524528,DB00231,1,129
520782,DB00181,1,130
520744,DB00514,1,131
519708,DB00396,1,132
518886,DB06605,1,133
517542,DB00555,1,134
515473,DB00843,1,135
514862,DB00465,1,136
497583,DB00874,1,137
496800,DB00927,1,138
489144,DB01132,1,139
487286,DB00820,1,140
485779,DB01129,1,141
482442,DB01260,1,142
482088,DB01216,1,143
473509,DB00461,1,144
451936,DB00251,1,145
448983,DB01115,1,146
439986,DB00395,1,147
438854,DB00749,1,148
438435,DB00572,1,149
435669,DB01409,1,150
